id;product_id;description;type;category;vendor;ext_id;ext_system;template_id;validity_period;cache_quantity;encrypted_yn;modified_date;collection_point
1;compressing Phased synergize;disintermediate Frozen plum;Soft Group;Islands, grid-enabled Bedfordshire;Steel Buckinghamshire;Research;Table Vista;Engineer attitude;41644;15354;P;2021-07-07T11:43:57;Cheese B2C Unbranded
2;Fords;Hat blue Jewelery;iterate Ireland;panel Senior back-end;invoice;withdrawal Islands Tuna;Re-contextualized dedicated Fresh;Buckinghamshire;363;45493;S;2021-07-07T01:43:08;Hat neural
3;Cotton Kids Rubber;quantify wireless;Seychelles Account;pixel Steel e-enable;bus Kroon;Account Organic Car;Borders experiences;Unbranded Optional;17251;52776;R;2021-07-06T21:52:47;hack
4;payment matrix;Hat Vermont drive;Dynamic Coordinator;groupware;Drive parsing;Chad;Small Incredible;Louisiana;48860;46339;A;2021-07-07T00:06:37;Fresh Bedfordshire
5;Keyboard Home EXE;Rupee Berkshire Street;Saint;Intelligent protocol;Ball;THX;Borders indigo;quantifying;23827;20495;C;2021-07-06T18:02:38;Account
6;Lithuania markets;Junction web-readiness Account;Israel synergy calculate;navigating Forward;and Coordinator GB;Soft Advanced;ubiquitous quantify;Human card Iowa;72328;4318;I;2021-07-06T18:59:01;impactful
7;XSS;strategy Computer Personal;Shoals Buckinghamshire solutio;solution Garden Missouri;Cotton;Euro utilize Shirt;Kitts;CSS;13010;42761;A;2021-07-07T15:37:15;Clothing
8;Outdoors Tools Focused;grid-enabled SMTP Security;productize quantifying Automot;International Account;partnerships e-markets Handcrafted;relationships Squares;Account bandwidth Throughway;services;56947;84382;d;2021-07-07T07:43:38;azure
9;Executive Senior Qatari;Proactive;grow innovative;Buckinghamshire e-business multi-tasking;capacitor Minnesota methodologies;Tools;recontextualize Incredible;paradigms Lights;8575;81896;h;2021-07-06T21:21:45;online
10;Towels;maroon indigo;Branch Product Mexico;end-to-end Designer back-end;Metal;programming Berkshire;Vatu green;payment Senior Assurance;29448;83579;B;2021-07-07T00:19:18;Security Chicken Infrastructure
